Movies,Director,Genres,Cast,Writer,Production House,Budget,India Collection,Overseas Collection,Worldwide Collection,IMDB Rating,Rotten Tomatoes,Release Date,YouTube Reviews
,,,,,,,,,,,,,
Uri: The Surgical Strike,Aditya Dhar,"Action,War","Vicky Kaushal, Mohit Raina, Paresh Rawal, Yami Gautam",Aditya Dhar,RSVP Movies,₹25 crore,₹ 244.14 Cr,₹ 48.00 Cr,₹359.73 crore,8.2/10,93%,11-Jan-19,https://www.youtube.com/results?search_query=uri+movie+review
The Accidental Prime Minister,Vijay Ratnakar Gutte,"Drama, Political cinema","Anupam Kher, Akshaye Khanna, Suzanne Bernert, Aahana Kumra","Vijay Ratnkar Gutte, Mayank Tewari, Karl Dunne, Aditya Sinha",Rudra Productions and Bohra Bro.,₹18 crore,₹22.65 Cr,₹8.05 Cr,₹30 crore,6.0/10,20%,11-Jan-19,https://www.youtube.com/results?search_query=the+accidental+prime+minister+movie+review
Manikarnika: The Queen of Jhansi,Radha Krishna Jagarlamudi,"War, Drama","Kangana Ranaut, Jisshu Sengupta, Suresh Oberoi",V. Vijayendra Prasad,ZEE studios,₹100 crore App.,₹92.19 Cr,₹24.11 Cr,₹132.95 crore,6.4/10,50%,25-Jan-19,https://www.youtube.com/results?search_query=manikarnika+movie+review
Gully Boy,Zoya Akhtar,"Music, Drama","Ranveer Singh, Alia Bhatt","Reema Kagti, Zoya Akhtar",Excel Entertainment,₹84 crore,₹165.58 Cr,₹72.58 Cr,₹238.16 crore,7.9/10,96%,14-Feb-19,https://www.youtube.com/results?search_query=gully+boy+review
Total Dhamaal,Indra Kumar,"Comedy, Drama","Ajay Devgn, Madhuri Dixit, Arshad Warsi, Anil Kapoor",Indra Kumar,"Fox Star Studios, Pen India",₹90 crore,₹182.09 Cr,₹46.18 Cr,₹228.27 crore,4.2/10,30%,22-Feb-19,https://www.youtube.com/results?search_query=total+dhamaal+review
Luka Chuppi,Laxman Utekar,"Romance, Comedy","Karthik Aaryan, Kriti Sanon,Pankaj Tripathi",Rohan Shankar,Maddock Films,₹25 crore,₹111.87 Cr,₹16.99 Cr,₹128.86 crore,6.3/10,31%,01-Mar-19,https://www.youtube.com/results?search_query=luka+chuppi+review+
Sonchiriya,Abhishek Chaubey,"Action, Drama","Sushant Singh Rajput, Bhumi Pednekar, Manoj Bajpayee","Abhisek Chaubey, Sudip Sharma",RSVP Movies,₹22 crore,₹9.17 Cr,₹1.25 Cr,₹10.42 crore,7.9/10,80%,01-Mar-19,https://www.youtube.com/results?search_query=sonchiriya+review
Badla,Sujoy Ghosh,"Crime, Thriller","Amitabh Bachchan, Taapsee Pannu",Sujoy Ghosh,"Red Chillies, Pen Studios",₹10 crore,₹103.88 Cr,₹34.61 Cr,₹138.49 crore,7.8/10,63%,01-Mar-19,https://www.youtube.com/results?search_query=badla+review
Kesari,Anurag Singh,"War, Drama","Akshay Kumar, Parineeti Chopra",Anurag Singh,"Dharma Productions, Zee Studios",₹80 crore,₹182.3 Cr,₹24.79 Cr,₹207.09 crore,7.4/10,33%,21-Mar-19,https://www.youtube.com/results?search_query=kesari+review
