State,Year,EV Stations,CNG Stations,Petrol/Diesel Stations,EV Growth(%),CNG Growth(%),Petrol/Diesel Decline(%),Total Stations
Andhra Pradesh,2020,40,30,4000,0,0,0,4070
Andhra Pradesh,2021,55,45,3985,37.5,50,-0.38,4085
Andhra Pradesh,2022,75,60,3970,36.36,33.33,-0.38,4105
Andhra Pradesh,2023,95,72,3960,26.67,20,-0.25,4127
Andhra Pradesh,2024,266,152,3050,180,111.11,-22.98,3468
Delhi,2020,20,300,450,0,0,0,770
Delhi,2021,28,340,440,40,13.33,-2.22,808
Delhi,2022,38,385,430,35.71,13.24,-2.27,853
Delhi,2023,52,420,415,36.84,9.09,-3.49,887
Delhi,2024,72,456,400,38.46,8.57,-3.61,928
Maharashtra,2020,95,380,5800,0,0,0,6275
Maharashtra,2021,140,450,5725,47.37,18.42,-1.29,6315
Maharashtra,2022,200,515,5620,42.86,14.44,-1.83,6335
Maharashtra,2023,260,570,5500,30,10.68,-2.14,6330
Maharashtra,2024,317,622,5419,21.92,9.12,-1.47,6358
Gujarat,2020,70,650,5800,0,0,0,6520
Gujarat,2021,105,725,5730,50,11.54,-1.21,6560
Gujarat,2022,160,810,5660,52.38,11.72,-1.22,6630
Gujarat,2023,220,890,5585,37.5,9.88,-1.33,6695
Gujarat,2024,278,961,5611,26.36,7.98,0.47,6850
Karnataka,2020,50,100,6300,0,0,0,6450
Karnataka,2021,72,120,6250,44,20,-0.79,6442
Karnataka,2022,110,145,6200,52.78,20.83,-0.8,6455
Karnataka,2023,145,170,6150,31.82,17.24,-0.81,6465
Karnataka,2024,172,194,6092,18.62,14.12,-0.94,6458
Tamil Nadu,2020,60,70,4900,0,0,0,5030
Tamil Nadu,2021,90,85,4850,50,21.43,-1.02,5025
Tamil Nadu,2022,135,100,4800,50,17.65,-1.03,5035
Tamil Nadu,2023,200,115,4750,48.15,15,-1.04,5065
Tamil Nadu,2024,281,129,4702,40.5,12.17,-1.01,5112
Rajasthan,2020,115,100,3950,0,0,0,4165
Rajasthan,2021,138,121,3890,20,21,-1.52,4149
Rajasthan,2022,164,145,3830,18.84,19.83,-1.54,4139
Rajasthan,2023,185,167,3780,12.8,15.17,-1.31,4132
Rajasthan,2024,205,184,3736,10.81,10.18,-1.16,4125
Madhya Pradesh,2020,132,130,6000,0,0,0,6262
Madhya Pradesh,2021,158,156,5930,19.7,20,-1.17,6244
Madhya Pradesh,2022,186,183,5860,17.72,17.31,-1.18,6229
Madhya Pradesh,2023,212,203,5800,13.98,10.93,-1.02,6215
Madhya Pradesh,2024,235,214,5772,10.85,5.42,-0.48,6221
West Bengal,2020,80,20,2300,0,0,0,2400
West Bengal,2021,95,25,2280,18.75,25,-0.87,2400
West Bengal,2022,112,30,2260,17.89,20,-0.88,2402
West Bengal,2023,128,36,2250,14.29,20,-0.44,2414
West Bengal,2024,141,40,2244,10.16,11.11,-0.27,2425
Telangana,2020,85,80,2300,0,0,0,2465
Telangana,2021,98,90,2280,15.29,12.5,-0.87,2468
Telangana,2022,112,102,2255,14.29,13.33,-1.1,2469
Telangana,2023,126,112,2240,12.5,9.8,-0.67,2478
Telangana,2024,138,120,2228,9.52,7.14,-0.54,2486
Bihar,2020,11,32,2672,0,0,0,2715
Bihar,2021,15,35,2619,36.36,9.38,-1.98,2669
Bihar,2022,20,39,2567,33.33,11.43,-1.99,2626
Bihar,2023,28,46,2511,40,17.95,-2.18,2585
Bihar,2024,37,53,2511,32.14,15.22,0,2601
Assam,2020,5,0,800,0,0,0,805
Assam,2021,7,0,796,40,0,-0.5,803
Assam,2022,10,0,792,42.86,0,-0.5,802
Assam,2023,15,1,788,50,0,-0.51,804
Assam,2024,20,1,788,33.33,0,0,809
Chandigarh,2020,20,8,45,0,0,0,73
Chandigarh,2021,27,9,44,35,12.5,-2.22,80
Chandigarh,2022,36,10,43,33.33,11.11,-2.27,89
