Sales id,Vehicle id,Vehicle Category,Brand,Body Type,Model,Fuel Type,Year,Month,Monthly Sales,Mumbai Sales,Delhi Sales,Total Sales,MoM(%),"Vehicle Price(EX-showroom,RTO,Insurance)",Sales Type(New/Resold),Vehicle Age,Resale Value,Depreciation Rate(%)
S001,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,January,12395,1411,1859,3270,0,447591,Resold,5,34805,40
S002,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,February,11723,1334,1758,3092,-5,447591,Resold,5,34805,40
S003,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,March,9332,1062,1400,2462,-20,447591,Resold,5,34805,40
S004,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,April,9043,1029,1356,2385,-3,447591,Resold,5,34805,40
S005,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,May,7675,873,1151,2024,-15,447591,Resold,5,34805,40
S006,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,June,7775,885,1166,2051,1,447591,Resold,5,34805,40
S007,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,July,7353,837,1103,1940,-5,447591,Resold,5,34805,40
S008,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,August,8546,973,1282,2255,16,447591,Resold,5,34805,40
S009,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,September,8655,985,1298,2283,1,447591,Resold,5,34805,40
S010,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,October,8548,973,1282,2255,-1,447591,Resold,5,34805,40
S011,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,November,7467,850,1120,1970,-13,447591,Resold,5,34805,40
S012,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2024,December,7410,843,1112,1955,-1,447591,Resold,5,34805,40
S013,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,January,21411,2561,3404,5965,-15.4,447591,Resold,5,34805,40
